"gene"	"B6_2ng_B6_NT1"	"B6_10ng_B6_NT1"	"B6_10ng_B6_2ng"	"B6_50ng_B6_NT1"	"B6_50ng_B6_2ng"	"B6_50ng_B6_10ng"	"1h_NT1_B6_NT1"	"1h_NT1_B6_2ng"	"1h_NT1_B6_10ng"	"1h_NT1_B6_50ng"	"1h_2ng_B6_NT1"	"1h_2ng_B6_2ng"	"1h_2ng_B6_10ng"	"1h_2ng_B6_50ng"	"1h_2ng_1h_NT1"	"1h_10ng_B6_NT1"	"1h_10ng_B6_2ng"	"1h_10ng_B6_10ng"	"1h_10ng_B6_50ng"	"1h_10ng_1h_NT1"	"1h_10ng_1h_2ng"	"1h_50ng_B6_NT1"	"1h_50ng_B6_2ng"	"1h_50ng_B6_10ng"	"1h_50ng_B6_50ng"	"1h_50ng_1h_NT1"	"1h_50ng_1h_2ng"	"1h_50ng_1h_10ng"
"Ifitm6"	NA	" 1.356900"	" 1.268130"	NA	NA	NA	NA	NA	" -1.960510"	" -1.251900"	NA	NA	"-0.902339"	NA	" 1.058170"	" 1.882470"	"  1.793700"	NA	" 1.234190"	" 2.486080"	" 1.427910"	NA	NA	NA	NA	" 1.493850"	NA	"-0.992229"
"Sigirr"	NA	"-1.715140"	NA	"-1.836900"	NA	NA	NA	NA	"  1.545690"	"  1.667450"	NA	NA	NA	NA	NA	"-1.650200"	" -1.130490"	NA	NA	"-1.480750"	NA	NA	NA	NA	NA	NA	NA	NA
"Slc25a22"	NA	" 2.422290"	" 1.849590"	" 4.124340"	" 3.551640"	" 1.702060"	NA	NA	" -1.826010"	" -3.528060"	NA	NA	"-1.861190"	" -3.563250"	NA	" 3.286790"	"  2.714090"	NA	NA	" 2.690510"	" 2.725690"	" 3.224760"	" 2.652070"	NA	NA	" 2.628480"	" 2.663670"	NA
"Polr2l"	NA	" 0.888695"	NA	NA	NA	"-1.003570"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tnfrsf26"	NA	"-2.049280"	NA	"-2.546570"	"-1.921170"	NA	NA	NA	"  1.973040"	"  2.470330"	NA	NA	" 1.784450"	"  2.281740"	NA	"-1.441750"	NA	NA	NA	"-1.365510"	"-1.176920"	NA	NA	" 1.574320"	" 2.071600"	NA	NA	NA
"Mrgpre"	NA	"-2.349030"	"-1.336570"	"-2.703770"	"-1.691310"	NA	NA	NA	"  2.312480"	"  2.667220"	"-1.356980"	NA	NA	NA	"-1.320440"	"-1.985820"	NA	NA	NA	"-1.949280"	NA	NA	NA	" 1.683110"	" 2.037850"	NA	NA	" 1.319910"
"Cers4"	NA	"-2.770750"	"-2.301500"	"-3.867100"	"-3.397840"	NA	NA	NA	"  2.174850"	"  3.271190"	NA	NA	NA	NA	NA	"-2.346190"	NA	NA	NA	NA	NA	NA	NA	NA	" 3.291310"	NA	NA	NA
"F7"	NA	" 1.657900"	NA	" 2.017470"	NA	NA	NA	NA	NA	" -1.587640"	NA	NA	NA	" -1.396800"	NA	NA	NA	NA	NA	NA	NA	" 1.382430"	NA	NA	NA	NA	NA	NA
"Thsd1"	NA	"-2.218630"	"-1.433620"	"-3.648300"	"-2.863290"	NA	NA	NA	"  2.221510"	"  3.651170"	NA	NA	" 1.942010"	"  3.371670"	NA	"-1.937740"	NA	NA	NA	"-1.940620"	"-1.661120"	NA	NA	" 1.628730"	" 3.058390"	NA	NA	" 1.347840"
"Zfp703"	NA	"-1.191780"	NA	"-0.903031"	NA	NA	NA	NA	"  0.986836"	NA	NA	NA	NA	NA	NA	"-1.070920"	NA	NA	NA	"-0.865977"	NA	NA	NA	" 0.932101"	NA	NA	NA	" 0.811242"
"Purg"	NA	"-1.106070"	NA	"-1.190330"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gsr"	NA	" 1.039350"	NA	" 1.675830"	" 1.199460"	NA	NA	NA	" -1.141350"	" -1.777830"	NA	NA	NA	" -1.286650"	NA	NA	NA	NA	"-0.958464"	" 0.819366"	NA	NA	NA	NA	"-1.044290"	NA	NA	NA
"Ppp1r3b"	NA	"-1.923950"	"-1.317000"	"-2.559390"	"-1.952440"	NA	NA	NA	"  1.691520"	"  2.326960"	NA	NA	" 1.200680"	"  1.836120"	NA	"-2.493730"	" -1.886780"	NA	NA	"-2.261300"	"-1.770460"	NA	NA	" 1.103770"	" 1.739210"	NA	NA	" 1.673550"
"Vegfc"	NA	" 5.643720"	" 2.524220"	" 6.003670"	" 2.884170"	NA	NA	NA	" -3.800790"	" -4.160740"	" 4.261180"	NA	"-1.382540"	" -1.742480"	" 2.418260"	" 6.779430"	"  3.659930"	" 1.135710"	NA	" 4.936500"	" 2.518250"	" 5.662300"	" 2.542800"	NA	NA	" 3.819370"	" 1.401110"	"-1.117130"
"Ddx60"	NA	" 2.904910"	" 2.428600"	" 4.447670"	" 3.971360"	" 1.542760"	NA	NA	" -3.314750"	" -4.857510"	NA	NA	"-2.024130"	" -3.566890"	NA	" 3.815830"	"  3.339510"	" 0.910916"	NA	" 4.225660"	" 2.935050"	" 3.624920"	" 3.148610"	NA	NA	" 4.034760"	" 2.744140"	NA
"Pbx4"	NA	"-1.986390"	"-1.891820"	"-2.057230"	"-1.962660"	NA	NA	NA	"  2.391740"	"  2.462580"	NA	NA	" 1.626730"	NA	NA	"-2.081960"	" -1.987390"	NA	NA	"-2.487310"	"-1.722300"	NA	NA	NA	NA	NA	NA	NA
"Ell"	NA	"-0.866848"	NA	NA	NA	NA	NA	NA	"  0.800934"	NA	NA	NA	NA	NA	NA	"-1.000940"	NA	NA	NA	"-0.935021"	NA	NA	NA	NA	NA	NA	NA	NA
"Lrrc25"	NA	" 0.849576"	NA	NA	NA	NA	NA	NA	" -1.050240"	" -0.843105"	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.989315"	NA	NA	NA	NA	NA	NA	NA	NA
"Jund"	NA	" 1.100810"	NA	NA	NA	NA	NA	NA	" -1.145220"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tpm4"	NA	" 1.631350"	NA	" 2.369510"	" 1.597600"	NA	NA	NA	" -1.071170"	" -1.809340"	" 1.061240"	NA	NA	" -1.308270"	NA	" 1.246180"	NA	NA	"-1.123340"	NA	NA	" 1.006120"	NA	NA	"-1.363390"	NA	NA	NA
"Klf2"	NA	"-0.816836"	NA	"-0.873414"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.883011"	" 0.939589"	NA	NA	NA
"Rnf150"	NA	"-3.359230"	"-2.782020"	"-6.057800"	"-5.480590"	"-2.698570"	NA	NA	"  3.042640"	"  5.741210"	"-0.945147"	NA	" 2.414080"	"  5.112650"	NA	"-4.415890"	" -3.838680"	"-1.056660"	" 1.641910"	"-4.099310"	"-3.470740"	NA	NA	" 2.344080"	" 5.042650"	NA	NA	" 3.400740"
"Tbc1d9"	NA	"-0.871535"	NA	NA	NA	" 1.029300"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.965312"	" 1.381370"	NA	NA	NA	" 1.025440"
"Lyl1"	NA	"-0.980969"	NA	"-2.589120"	"-2.251040"	"-1.608150"	NA	NA	NA	"  2.357010"	NA	NA	NA	"  1.815540"	NA	"-2.013890"	" -1.675820"	"-1.032920"	NA	"-1.781790"	"-1.240320"	NA	NA	NA	" 1.844850"	NA	NA	" 1.269620"
"Nod2"	NA	" 2.242580"	" 1.834970"	" 4.196190"	" 3.788580"	" 1.953610"	NA	NA	" -2.864150"	" -4.817760"	NA	NA	"-2.080480"	" -4.034090"	NA	" 1.821340"	"  1.413720"	NA	"-2.374860"	" 2.442910"	" 1.659230"	" 2.320620"	" 1.913000"	NA	"-1.875580"	" 2.942190"	" 2.158510"	NA
"Mt1"	NA	"-1.122100"	NA	"-2.219310"	"-1.543450"	"-1.097210"	NA	NA	"  1.028850"	"  2.126060"	"-0.993967"	NA	NA	"  1.225340"	"-0.900717"	"-1.634570"	" -0.958711"	NA	NA	"-1.541320"	NA	NA	NA	NA	" 1.480140"	NA	NA	NA
"Nlrc5"	NA	" 2.758700"	" 2.579130"	" 3.977660"	" 3.798100"	" 1.218960"	NA	NA	" -2.520660"	" -3.739620"	" 1.052850"	NA	"-1.705850"	" -2.924810"	NA	" 3.276300"	"  3.096740"	NA	NA	" 3.038260"	" 2.223450"	" 3.227020"	" 3.047450"	NA	NA	" 2.988980"	" 2.174160"	NA
"Cpne2"	NA	" 1.427510"	" 1.168840"	" 2.556800"	" 2.298120"	" 1.129280"	NA	NA	" -1.176180"	" -2.305460"	NA	NA	NA	" -1.698740"	NA	" 1.662070"	"  1.403390"	NA	NA	" 1.410730"	NA	" 1.861300"	" 1.602620"	NA	NA	" 1.609960"	NA	NA
"Ccl22"	NA	" 0.000000"	NA	" 0.000000"	NA	" 4.944290"	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.000000"	NA	NA	"-5.772090"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Adgrg1"	NA	"-2.266710"	NA	NA	NA	NA	NA	NA	"  2.097990"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 2.344740"	NA	NA	NA	NA
"Usb1"	NA	" 1.206400"	" 1.190090"	" 2.853900"	" 2.837590"	" 1.647500"	NA	NA	" -1.284450"	" -2.931950"	NA	NA	"-1.035900"	" -2.683400"	NA	" 1.547740"	"  1.531440"	NA	"-1.306150"	" 1.625800"	" 1.377250"	" 1.958910"	" 1.942600"	NA	NA	" 2.036970"	" 1.788420"	NA
"Hsf4"	NA	"-1.328920"	NA	"-2.356280"	"-2.048350"	NA	NA	NA	"  1.611570"	"  2.638930"	NA	NA	NA	"  2.170200"	NA	"-1.579230"	NA	NA	NA	"-1.861880"	"-1.393150"	NA	NA	NA	" 1.655150"	NA	NA	NA
"Pla2g15"	NA	"-1.088940"	NA	"-1.540540"	"-1.140520"	NA	NA	NA	"  1.018300"	"  1.469900"	NA	NA	NA	"  0.967402"	NA	"-1.334080"	" -0.934061"	NA	NA	"-1.263440"	NA	NA	NA	NA	" 1.028020"	NA	NA	NA
"Cirh1a"	NA	" 0.909607"	NA	" 1.025770"	" 0.841502"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.356990"	"  1.172720"	NA	NA	" 1.148140"	NA	" 0.937780"	NA	NA	NA	NA	NA	NA
"Osgin1"	NA	"-0.778243"	NA	"-0.934492"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.545510"	" -1.283190"	NA	NA	"-1.304240"	"-0.887174"	NA	NA	NA	NA	NA	NA	" 1.011130"
"Mir1903,Nrp1"	NA	"-1.343300"	NA	"-1.872290"	"-1.248710"	NA	NA	NA	"  1.325960"	"  1.854950"	NA	NA	NA	"  1.158080"	NA	"-1.046030"	NA	NA	" 0.826258"	"-1.028690"	NA	NA	NA	NA	" 1.276330"	NA	NA	NA
"Fcor"	NA	" 1.630590"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Irs2"	NA	"-1.758800"	"-1.189200"	"-2.101350"	"-1.531760"	NA	NA	NA	"  1.889500"	"  2.232060"	NA	NA	" 1.626680"	"  1.969240"	NA	"-1.869500"	" -1.299900"	NA	NA	"-2.000210"	"-1.737390"	NA	NA	" 1.290510"	" 1.633070"	NA	NA	" 1.401220"
"Rasa3"	NA	"-1.260910"	NA	"-1.190430"	NA	NA	NA	NA	"  1.198150"	"  1.127670"	NA	NA	NA	NA	NA	"-1.268320"	NA	NA	NA	"-1.205560"	NA	NA	NA	" 0.865571"	" 0.795092"	NA	NA	" 0.872979"
"Xkr5"	NA	"-1.899540"	"-2.280830"	"-3.512820"	"-3.894110"	NA	NA	NA	"  2.484900"	"  4.098190"	NA	NA	" 2.699950"	"  4.313230"	NA	NA	NA	NA	NA	"-1.466980"	"-1.682030"	NA	NA	NA	" 2.953810"	NA	NA	NA
"Gm15056"	NA	" 0.000000"	" 0.000000"	" 0.000000"	" 0.000000"	" 1.937550"	NA	NA	"  0.000000"	"  0.000000"	NA	NA	NA	NA	NA	" 0.000000"	"  0.000000"	NA	NA	" 0.000000"	NA	NA	NA	NA	NA	NA	NA	NA
"Rab11fip1"	NA	" 1.331230"	" 1.068640"	" 3.201200"	" 2.938610"	" 1.869960"	NA	NA	" -1.547510"	" -3.417470"	NA	NA	"-1.025220"	" -2.895190"	NA	" 1.501000"	"  1.238400"	NA	"-1.700200"	" 1.717270"	" 1.194980"	" 2.011190"	" 1.748600"	NA	"-1.190010"	" 2.227460"	" 1.705180"	NA
"Rbpms"	NA	" 2.394070"	NA	" 2.163120"	NA	NA	NA	"-2.154330"	" -2.939990"	" -2.709040"	NA	NA	"-1.686030"	" -1.455090"	NA	" 1.579650"	NA	NA	NA	" 2.125580"	NA	NA	NA	NA	NA	" 1.899050"	NA	NA
"Msr1"	NA	" 1.450520"	NA	" 2.561420"	" 1.885570"	NA	NA	NA	" -1.211530"	" -2.322430"	" 0.947997"	NA	NA	" -1.613420"	NA	" 1.518020"	NA	NA	NA	" 1.279030"	NA	" 1.267790"	NA	NA	"-1.293630"	NA	NA	NA
"Mtus1"	NA	"-2.023740"	"-1.516190"	"-1.200670"	NA	NA	NA	NA	"  1.518400"	NA	"-0.801304"	NA	" 1.222440"	NA	NA	"-1.446700"	" -0.939151"	NA	NA	"-0.941361"	NA	NA	NA	" 1.845600"	" 1.022520"	NA	NA	" 1.268560"
"Tlr3"	NA	" 1.230640"	" 0.881608"	" 2.734460"	" 2.385430"	" 1.503820"	NA	NA	" -1.645520"	" -3.149350"	NA	NA	"-1.130090"	" -2.633920"	NA	" 2.265010"	"  1.915980"	" 1.034370"	NA	" 2.679900"	" 2.164470"	" 2.364390"	" 2.015360"	" 1.133750"	NA	" 2.779280"	" 2.263850"	NA
"Wwc2"	NA	"-0.887741"	NA	NA	NA	NA	NA	NA	"  0.892529"	NA	NA	NA	NA	NA	NA	"-0.952313"	NA	NA	NA	"-0.957101"	NA	NA	NA	NA	NA	NA	NA	NA
"Neil3"	NA	"-0.908206"	"-1.606580"	"-4.647970"	"-5.346340"	"-3.739760"	NA	NA	"  1.257830"	"  4.997600"	NA	NA	" 1.745530"	"  5.485290"	NA	NA	" -1.065560"	NA	" 4.280780"	NA	"-1.204510"	NA	"-1.633350"	NA	" 3.712990"	"-1.284610"	"-1.772300"	NA
"Sap30"	NA	" 1.351550"	" 1.222140"	" 1.241720"	" 1.112310"	NA	NA	NA	" -1.371320"	" -1.261490"	NA	NA	"-0.976258"	" -0.866428"	NA	" 2.263020"	"  2.133610"	" 0.911466"	" 1.021300"	" 2.282790"	" 1.887720"	" 1.631270"	" 1.501860"	NA	NA	" 1.651040"	" 1.255980"	NA
"Psd3"	NA	"-1.064880"	NA	NA	NA	NA	NA	NA	"  1.470380"	NA	NA	NA	" 1.437310"	NA	NA	"-1.455280"	" -1.203490"	NA	"-1.253740"	"-1.860780"	"-1.827700"	NA	NA	NA	NA	NA	NA	" 1.033480"
"Bst2"	NA	" 2.934630"	" 2.478900"	" 3.442360"	" 2.986620"	NA	NA	NA	" -2.811230"	" -3.318950"	" 1.073410"	NA	"-1.861230"	" -2.368950"	" 0.949999"	" 3.367680"	"  2.911940"	NA	NA	" 3.244270"	" 2.294270"	" 2.987450"	" 2.531710"	NA	NA	" 2.864040"	" 1.914040"	NA
"Abce1"	NA	" 0.924010"	NA	" 1.375940"	" 1.031930"	NA	NA	NA	NA	NA	" 0.961709"	NA	NA	NA	NA	" 1.033050"	NA	NA	NA	NA	NA	NA	NA	NA	"-0.925769"	NA	NA	NA
"Gab1"	NA	"-0.968394"	"-1.246280"	"-3.376790"	"-3.654680"	"-2.408390"	"-0.872199"	"-1.150090"	NA	"  2.504590"	NA	NA	NA	"  2.907260"	NA	"-1.807000"	" -2.084890"	NA	" 1.569790"	"-0.934803"	"-1.337470"	NA	"-1.084080"	NA	" 2.570600"	NA	NA	" 1.000810"
"Il15"	NA	" 1.065390"	" 1.132510"	" 3.200240"	" 3.267350"	" 2.134850"	NA	NA	" -1.401930"	" -3.536770"	NA	NA	"-1.549090"	" -3.683940"	NA	" 1.859670"	"  1.926790"	" 0.794281"	"-1.340560"	" 2.196210"	" 2.343380"	" 2.489080"	" 2.556190"	" 1.423690"	NA	" 2.825610"	" 2.972780"	NA
"Scoc"	NA	"-0.895707"	NA	NA	NA	NA	NA	NA	"  0.934649"	NA	NA	NA	NA	NA	NA	"-0.944248"	NA	NA	NA	"-0.983190"	NA	NA	NA	NA	NA	NA	NA	NA
"Il27ra"	NA	" 3.954180"	NA	" 4.705400"	" 1.465230"	NA	NA	NA	" -2.258980"	" -3.010200"	" 3.837310"	NA	NA	NA	" 2.142110"	" 4.487250"	NA	NA	NA	" 2.792050"	NA	" 3.735200"	NA	NA	NA	" 2.040010"	NA	NA
"Zswim4"	NA	" 0.850330"	NA	" 2.284620"	" 1.759380"	" 1.434290"	NA	NA	NA	" -2.223940"	" 0.808575"	NA	NA	" -1.476050"	NA	" 0.900237"	NA	NA	"-1.384390"	" 0.839551"	NA	" 1.770520"	" 1.245280"	" 0.920188"	NA	" 1.709830"	" 0.961943"	" 0.870280"
"Snx20"	NA	" 1.333500"	" 1.017440"	" 1.506550"	" 1.190490"	NA	NA	NA	" -1.333640"	" -1.506690"	NA	NA	"-1.079530"	" -1.252580"	NA	" 1.141080"	"  0.825017"	NA	NA	" 1.141220"	" 0.887112"	" 1.078420"	NA	NA	NA	" 1.078560"	NA	NA
"9330175E14Rik"	NA	" 2.687470"	" 2.370330"	" 4.202090"	" 3.884960"	" 1.514620"	NA	NA	" -1.814900"	" -3.329520"	NA	NA	NA	" -2.821330"	NA	" 2.989740"	"  2.672610"	NA	"-1.212350"	" 2.117180"	" 1.608990"	" 2.905900"	" 2.588760"	NA	NA	" 2.033330"	NA	NA
"Tk2"	NA	"-0.922613"	NA	"-1.569600"	"-1.296010"	NA	NA	NA	NA	"  1.017400"	"-1.074340"	"-0.800743"	NA	NA	NA	"-1.692590"	" -1.419000"	"-0.769982"	NA	"-1.140390"	NA	NA	NA	NA	" 0.889992"	NA	NA	" 1.012990"
"Fam96b"	NA	" 0.773544"	NA	NA	NA	NA	NA	NA	" -0.768364"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4931428F04Rik"	NA	" 1.530740"	NA	" 1.682030"	NA	NA	NA	NA	NA	" -1.150480"	" 1.524570"	NA	NA	NA	NA	" 1.798480"	NA	NA	NA	" 1.266930"	NA	NA	NA	NA	NA	NA	NA	NA
"Psmb10"	NA	" 2.736160"	" 2.168960"	" 2.816590"	" 2.249390"	NA	NA	NA	" -2.949710"	" -3.030140"	NA	NA	"-2.296800"	" -2.377230"	NA	" 2.977380"	"  2.410170"	NA	NA	" 3.190930"	" 2.538020"	" 2.559470"	" 1.992260"	NA	NA	" 2.773020"	" 2.120110"	NA
"Dpep3"	NA	" 1.355420"	NA	NA	NA	NA	NA	NA	" -1.781420"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.483710"	NA	NA	NA	NA	NA	NA	NA	NA
"Mlkl"	NA	" 2.682070"	" 1.791210"	" 3.568150"	" 2.677280"	NA	NA	NA	" -2.254040"	" -3.140120"	NA	NA	"-1.683550"	" -2.569630"	NA	" 3.312960"	"  2.422090"	NA	NA	" 2.884920"	" 2.314430"	" 2.968810"	" 2.077940"	NA	NA	" 2.540770"	" 1.970280"	NA
"Kars"	NA	" 0.820246"	NA	" 0.861612"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.211530"	"  0.839844"	NA	NA	" 0.998075"	NA	NA	NA	NA	NA	NA	NA	NA
"Gcsh"	NA	" 0.810123"	NA	NA	NA	"-1.025640"	NA	NA	NA	NA	NA	NA	NA	"  0.922355"	NA	" 0.960309"	NA	NA	" 1.175830"	" 0.820010"	NA	NA	"-0.849854"	"-1.051020"	NA	NA	"-0.947735"	"-1.201210"
"Pgbd5"	NA	"-1.916050"	NA	"-3.656610"	"-3.210580"	NA	NA	NA	"  2.189280"	"  3.929840"	NA	NA	NA	"  3.321710"	NA	"-1.666450"	NA	NA	NA	"-1.939670"	NA	NA	NA	NA	" 2.941920"	NA	NA	NA
"Casp1"	NA	" 1.232610"	" 1.039270"	" 2.256130"	" 2.062790"	" 1.023510"	NA	NA	" -1.209710"	" -2.233220"	NA	NA	"-1.063370"	" -2.086890"	NA	" 1.585720"	"  1.392380"	NA	NA	" 1.562810"	" 1.416470"	" 1.803720"	" 1.610380"	NA	NA	" 1.780810"	" 1.634480"	NA
"Tmem123"	NA	" 1.027460"	" 0.970911"	" 1.570530"	" 1.513980"	NA	NA	NA	" -0.969195"	" -1.512270"	NA	NA	"-0.950949"	" -1.494020"	NA	NA	NA	"-0.885554"	"-1.428630"	NA	NA	NA	NA	"-1.113570"	"-1.656650"	NA	NA	NA
"Gm22643,Maml2"	NA	"-1.118660"	NA	NA	NA	" 1.485690"	NA	NA	NA	NA	"-0.871293"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Sesn3"	NA	"-1.320970"	"-1.072050"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.066880"	NA	NA	NA	NA	NA	NA	NA	" 1.803900"	NA	NA	NA	NA
"Zfp317"	NA	"-0.980702"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.207930"	NA	NA	NA	"-1.022740"	NA	NA	NA	NA	NA	NA	NA	NA
"Ldlr"	NA	" 0.807626"	NA	" 1.788940"	" 1.481020"	" 0.981312"	NA	NA	NA	" -1.553920"	NA	NA	NA	" -1.171040"	NA	" 0.818484"	NA	NA	"-0.970455"	NA	NA	" 0.898772"	NA	NA	"-0.890167"	NA	NA	NA
"Ets1"	NA	"-1.532720"	NA	NA	NA	NA	NA	" 1.330300"	"  1.915120"	"  1.897620"	NA	" 1.202190"	" 1.787010"	"  1.769510"	NA	NA	NA	" 1.286290"	NA	NA	NA	NA	NA	" 1.411160"	NA	NA	NA	NA
"Clmp"	NA	" 2.710470"	" 2.637610"	" 4.674460"	" 4.601600"	" 1.963990"	NA	NA	NA	" -3.688170"	NA	NA	"-2.064120"	" -4.028110"	NA	" 2.464780"	"  2.391920"	NA	"-2.209680"	NA	" 1.818430"	" 3.301210"	" 3.228350"	NA	"-1.373250"	NA	" 2.654860"	NA
"Hyou1"	NA	" 0.829945"	NA	" 2.188840"	" 2.039570"	" 1.358900"	NA	NA	NA	" -1.629730"	" 0.908422"	" 0.759154"	NA	" -1.280420"	NA	" 0.796801"	NA	NA	"-1.392040"	NA	NA	" 0.928570"	NA	NA	"-1.260270"	NA	NA	NA
"C030014I23Rik"	NA	"-1.144820"	NA	"-1.701720"	"-1.288940"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.542240"	NA	NA	NA	NA	NA	NA	NA	NA	" 1.314590"	NA	NA	NA
"Fxyd2"	NA	" 2.986060"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.774430"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Nxpe1-ps"	NA	"-1.178480"	NA	"-1.159170"	NA	NA	NA	NA	"  1.082140"	"  1.062830"	NA	NA	NA	NA	NA	"-1.056440"	NA	NA	NA	"-0.960106"	NA	NA	NA	NA	NA	NA	NA	NA
"Psma4"	NA	" 0.969018"	NA	" 0.827821"	NA	NA	NA	NA	" -0.936400"	" -0.795204"	NA	NA	NA	NA	NA	" 1.172230"	"  0.874499"	NA	NA	" 1.139620"	" 0.867850"	NA	NA	NA	NA	NA	NA	NA
"Adpgk"	NA	" 0.946592"	NA	" 1.135500"	NA	NA	NA	NA	NA	NA	" 0.961259"	NA	NA	NA	NA	" 1.010440"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tle3"	NA	"-1.851210"	"-1.648390"	"-1.961180"	"-1.758360"	NA	NA	NA	"  1.774910"	"  1.884880"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.649180"	" 1.759150"	NA	NA	NA
"Rora"	NA	"-1.064580"	NA	"-0.793508"	NA	NA	NA	NA	NA	NA	"-1.157030"	NA	NA	NA	NA	"-1.830840"	" -1.373900"	NA	"-1.037340"	"-1.232940"	NA	NA	NA	NA	NA	NA	NA	" 1.372840"
"Myo5a"	NA	"-1.389360"	NA	NA	NA	NA	NA	NA	"  1.393890"	"  1.045020"	NA	NA	NA	NA	NA	"-1.568980"	NA	NA	NA	"-1.573510"	NA	NA	NA	NA	NA	NA	NA	NA
"Gm29562"	NA	"-1.183890"	NA	"-1.885470"	"-1.443140"	NA	NA	NA	"  1.044570"	"  1.746160"	NA	NA	NA	"  1.074860"	NA	"-1.901490"	" -1.459160"	NA	NA	"-1.762170"	"-1.090870"	NA	NA	NA	" 1.258860"	NA	NA	" 1.274880"
"Bcl2a1a"	NA	" 6.708620"	" 3.975000"	" 8.523660"	" 5.790040"	" 1.815040"	NA	NA	NA	NA	NA	NA	"-4.721330"	" -6.536370"	NA	" 6.999430"	"  4.265820"	NA	"-1.524230"	NA	" 5.012140"	" 7.810990"	" 5.077370"	" 1.102370"	NA	NA	" 5.823690"	NA
"Slc9a9"	NA	"-2.767190"	"-1.992050"	"-5.194980"	"-4.419830"	"-2.427790"	NA	NA	"  2.596060"	"  5.023850"	"-0.971874"	NA	" 1.795320"	"  4.223100"	"-0.800742"	"-3.191610"	" -2.416470"	NA	" 2.003370"	"-3.020480"	"-2.219740"	NA	NA	" 1.799440"	" 4.227230"	NA	NA	" 2.223860"
"Dusp7"	NA	"-1.045810"	NA	NA	NA	NA	NA	NA	"  1.027010"	NA	NA	NA	" 0.891781"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Nicn1"	NA	"-0.829901"	NA	"-1.114100"	"-0.995407"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.242550"	" -1.123870"	NA	NA	"-0.892424"	NA	NA	NA	NA	NA	NA	NA	NA
"4833445I07Rik"	NA	" 2.332550"	NA	" 3.023560"	" 2.101570"	NA	NA	NA	" -2.420330"	" -3.111340"	NA	NA	NA	" -2.319430"	NA	NA	NA	NA	"-1.728920"	NA	NA	NA	NA	NA	"-1.838930"	NA	NA	NA
"Shisa5"	NA	" 0.984570"	NA	" 1.390470"	" 1.130900"	NA	NA	NA	" -0.967689"	" -1.373590"	NA	NA	NA	" -1.145470"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Nme6"	NA	" 1.034650"	NA	NA	NA	NA	NA	NA	" -0.978021"	NA	NA	NA	NA	NA	NA	" 0.973819"	NA	NA	NA	" 0.917192"	NA	NA	NA	NA	NA	NA	NA	NA
"Clasp2"	NA	"-0.922340"	NA	NA	NA	NA	NA	NA	"  0.793849"	NA	NA	NA	NA	NA	NA	"-0.796560"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Vipr1"	NA	"-3.300350"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
